#Replicon Name	Replicon Accession	Start	Stop	Strand	GeneID	Locus	Locus tag	Protein product	Length	COG(s)	Protein name
chr	NC_000964.3	73106	73843	+	936965	yabS	BSU00650	NP_387946.1	245	-	hypothetical protein BSU00650
chr	NC_000964.3	73809	74825	+	936964	yabT	BSU00660	NP_387947.2	338	-	serine/threonine protein kinase
chr	NC_000964.3	74929	76347	+	936922	tilS	BSU00670	NP_387948.1	472	-	tRNA(ile)-lysidine synthase
chr	NC_000964.3	76344	76886	+	936945	hprT	BSU00680	NP_387949.1	180	-	hypoxanthine-guanine phosphoribosyltransferase
chr	NC_000964.3	76984	78897	+	938094	ftsH	BSU00690	NP_387950.1	637	-	ATP-dependent zinc metalloprotease FtsH
chr	NC_000964.3	79092	79868	+	936960	coaX	BSU00700	NP_387951.2	258	-	type III pantothenate kinase
chr	NC_000964.3	79880	80755	+	936762	hslO	BSU00710	NP_387952.1	291	-	33 kDa chaperonin
chr	NC_000964.3	80802	81695	+	936955	yacD	BSU00720	NP_387953.1	297	-	peptidyl-prolyl cis-trans isomerase
chr	NC_000964.3	81771	82697	+	936636	cysK	BSU00730	NP_387954.1	308	-	cysteine synthase
chr	NC_000964.3	82864	84276	+	936926	pabB	BSU00740	NP_387955.1	470	-	para-aminobenzoate synthase component 1
chr	NC_000964.3	84290	84874	+	936441	pabA	BSU00750	NP_387956.1	194	-	para-aminobenzoate/anthranilate synthase glutamine amidotransferase component II
chr	NC_000964.3	84874	85755	+	936944	pabC	BSU00760	NP_387957.1	293	-	aminodeoxychorismate lyase
chr	NC_000964.3	85737	86594	+	936256	sul	BSU00770	NP_387958.1	285	-	dihydropteroate synthase
chr	NC_000964.3	86587	86949	+	937976	folB	BSU00780	NP_387959.1	120	-	dihydroneopterin aldolase
chr	NC_000964.3	86946	87449	+	936940	folK	BSU00790	NP_387960.1	167	-	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine pyrophosphokinase
chr	NC_000964.3	87401	87610	+	936295	yazB	BSU00800	NP_387961.1	69	-	XRE family transcriptional regulator
chr	NC_000964.3	87634	88635	+	936924	dusB	BSU00810	NP_387962.1	333	-	tRNA-dihydrouridine synthase
chr	NC_000964.3	88727	90226	+	936911	lysS	BSU00820	NP_387963.1	499	-	lysine--tRNA ligase
chr	NC_000964.3	101449	101913	+	936883	ctsR	BSU00830	NP_387964.1	154	-	transcriptional regulator CtsR
chr	NC_000964.3	101927	102484	+	936845	mcsA	BSU00840	NP_387965.1	185	-	hypothetical protein BSU00840
chr	NC_000964.3	102484	103575	+	936939	mcsB	BSU00850	NP_387966.1	363	-	ATP:guanido phosphotransferase YacI
chr	NC_000964.3	103572	106004	+	938481	clpC	BSU00860	NP_387967.1	810	-	negative regulator of genetic competence ClpC/MecB
chr	NC_000964.3	106096	107472	+	936872	radA	BSU00870	NP_387968.1	458	-	DNA repair protein RadA
chr	NC_000964.3	107476	108558	+	936868	yacK	BSU00880	NP_387969.1	360	-	DNA integrity scanning protein DisA
chr	NC_000964.3	108674	109774	+	936863	yacL	BSU00890	NP_387970.1	366	-	PIN and TRAM-domain containing protein YacL
chr	NC_000964.3	109789	110487	+	936855	ispD	BSU00900	NP_387971.1	232	-	2-D-methyl-D-erythritol 4-phosphate cytidylyltransferase
chr	NC_000964.3	110480	110956	+	936634	ispF	BSU00910	NP_387972.1	158	-	2-D-methyl-D-erythritol 2,4-cyclodiphosphate synthase
chr	NC_000964.3	111047	112498	+	936862	gltX	BSU00920	NP_387973.1	483	-	glutamate--tRNA ligase
chr	NC_000964.3	112800	113453	+	936831	cysE	BSU00930	NP_387974.1	217	-	serine acetyltransferase
chr	NC_000964.3	113450	114850	+	936859	cysS	BSU00940	NP_387975.1	466	-	cysteine--tRNA ligase
chr	NC_000964.3	114854	115285	+	936369	mrnC	BSU00950	NP_387976.1	143	-	mini-ribonuclease 3
chr	NC_000964.3	115269	116018	+	936861	rlmB	BSU00960	NP_387977.1	249	-	tRNA/rRNA methyltransferase TrmH
chr	NC_000964.3	116025	116537	+	936993	yacP	BSU00970	NP_387978.1	170	-	hypothetical protein BSU00970
chr	NC_000964.3	116600	117256	+	936150	sigH	BSU00980	NP_387979.1	218	-	RNA polymerase sigma-H factor
chr	NC_000964.3	117349	117498	+	936842	rpmG	BSU00990	NP_387980.1	49	-	50S ribosomal protein L33 2
chr	NC_000964.3	117532	117711	+	936856	secE	BSU01000	NP_387981.1	59	-	preprotein translocase subunit SecE
chr	NC_000964.3	117890	118423	+	936851	nusG	BSU01010	NP_387982.1	177	-	transcription termination/antitermination protein NusG
chr	NC_000964.3	118591	119016	+	936838	rplK	BSU01020	NP_387983.2	141	-	50S ribosomal protein L11
chr	NC_000964.3	119111	119809	+	936843	rplA	BSU01030	NP_387984.2	232	-	50S ribosomal protein L1
chr	NC_000964.3	120061	120561	+	936153	rplJ	BSU01040	NP_387985.2	166	-	50S ribosomal protein L10
chr	NC_000964.3	120607	120978	+	935952	rplL	BSU01050	NP_387986.1	123	-	50S ribosomal protein L7/L12
chr	NC_000964.3	121068	121673	+	938465	ybxB	BSU01060	NP_387987.1	201	-	hypothetical protein BSU01060
chr	NC_000964.3	121919	125500	+	936335	rpoB	BSU01070	NP_387988.2	1193	-	DNA-directed RNA polymerase subunit beta
chr	NC_000964.3	125562	129161	+	935977	rpoC	BSU01080	NP_387989.2	1199	-	DNA-directed RNA polymerase subunit beta\'
chr	NC_000964.3	129340	129588	+	936829	ybxF	BSU01090	NP_387990.1	82	-	ribosome-associated protein L7Ae-like
chr	NC_000964.3	129702	130118	+	936616	rpsL	BSU01100	NP_387991.2	138	-	30S ribosomal protein S12
chr	NC_000964.3	130160	130630	+	935997	rpsG	BSU01110	NP_387992.2	156	-	30S ribosomal protein S7
chr	NC_000964.3	130684	132762	+	936826	fusA	BSU01120	NP_387993.2	692	-	elongation factor G
chr	NC_000964.3	132882	134072	+	935965	tufA	BSU01130	NP_387994.1	396	-	elongation factor Tu
chr	NC_000964.3	134171	135127	+	936866	ybaC	BSU01140	NP_387995.2	318	-	aminopeptidase YbaC
chr	NC_000964.3	135364	135672	+	936825	rpsJ	BSU01150	NP_387996.1	102	-	30S ribosomal protein S10
chr	NC_000964.3	135712	136341	+	936239	rplC	BSU01160	NP_387997.1	209	-	50S ribosomal protein L3
chr	NC_000964.3	136369	136992	+	936690	rplD	BSU01170	NP_387998.1	207	-	50S ribosomal protein L4
chr	NC_000964.3	136992	137279	+	936820	rplW	BSU01180	NP_387999.2	95	-	50S ribosomal protein L23
chr	NC_000964.3	137311	138144	+	936817	rplB	BSU01190	NP_388000.2	277	-	50S ribosomal protein L2
chr	NC_000964.3	138202	138480	+	936818	rpsS	BSU01200	NP_388001.1	92	-	30S ribosomal protein S19
chr	NC_000964.3	138497	138838	+	938123	rplV	BSU01210	NP_388002.1	113	-	50S ribosomal protein L22
chr	NC_000964.3	138842	139498	+	936808	rpsC	BSU01220	NP_388003.2	218	-	30S ribosomal protein S3
chr	NC_000964.3	139500	139934	+	936807	rplP	BSU01230	NP_388004.1	144	-	50S ribosomal protein L16
chr	NC_000964.3	139924	140124	+	936801	rpmC	BSU01240	NP_388005.1	66	-	50S ribosomal protein L29
chr	NC_000964.3	140147	140410	+	936805	rpsQ	BSU01250	NP_388006.1	87	-	30S ribosomal protein S17
chr	NC_000964.3	140451	140819	+	935939	rplN	BSU01260	NP_388007.1	122	-	50S ribosomal protein L14
chr	NC_000964.3	140857	141168	+	936799	rplX	BSU01270	NP_388008.1	103	-	50S ribosomal protein L24
chr	NC_000964.3	141195	141734	+	936981	rplE	BSU01280	NP_388009.1	179	-	50S ribosomal protein L5
chr	NC_000964.3	141757	141942	+	935946	rpsN	BSU01290	NP_388010.1	61	-	30S ribosomal protein S14
chr	NC_000964.3	141974	142372	+	936328	rpsH	BSU01300	NP_388011.2	132	-	30S ribosomal protein S8
chr	NC_000964.3	142402	142941	+	938229	rplF	BSU01310	NP_388012.1	179	-	50S ribosomal protein L6
chr	NC_000964.3	142974	143336	+	936785	rplR	BSU01320	NP_388013.2	120	-	50S ribosomal protein L18
chr	NC_000964.3	143361	143861	+	938012	rpsE	BSU01330	NP_388014.1	166	-	30S ribosomal protein S5
chr	NC_000964.3	143875	144054	+	936920	rpmD	BSU01340	NP_388015.1	59	-	50S ribosomal protein L30
chr	NC_000964.3	144085	144525	+	935940	rplO	BSU01350	NP_388016.1	146	-	50S ribosomal protein L15
chr	NC_000964.3	144527	145822	+	936779	secY	BSU01360	NP_388017.1	431	-	protein translocase subunit SecY
chr	NC_000964.3	145877	146530	+	938508	adk	BSU01370	NP_388018.1	217	-	adenylate kinase
chr	NC_000964.3	146527	147273	+	938929	mapA	BSU01380	NP_388019.1	248	-	methionine aminopeptidase 1
chr	NC_000964.3	147312	147536	+	8303095	ybzG	BSU01389	YP_003097669.1	74	-	ribosome-binding protein YbzG
chr	NC_000964.3	147585	147803	+	938924	infA	BSU01390	NP_388020.1	72	-	translation initiation factor IF-1
chr	NC_000964.3	147837	147950	+	938927	rpmJ	BSU01400	NP_388021.1	37	-	50S ribosomal protein L36
chr	NC_000964.3	147973	148338	+	938928	rpsM	BSU01410	NP_388022.2	121	-	30S ribosomal protein S13
chr	NC_000964.3	148359	148754	+	938926	rpsK	BSU01420	NP_388023.1	131	-	30S ribosomal protein S11
chr	NC_000964.3	148931	149875	+	938921	rpoA	BSU01430	NP_388024.1	314	-	DNA-directed RNA polymerase subunit alpha
chr	NC_000964.3	149953	150315	+	938918	rplQ	BSU01440	NP_388025.1	120	-	50S ribosomal protein L17
chr	NC_000964.3	150443	151288	+	938925	cbiO	BSU01450	NP_388026.2	281	-	energy-coupling factor transporter ATP-binding protein EcfA1
chr	NC_000964.3	151303	152133	+	938922	cbiO	BSU01460	NP_388027.1	276	-	energy-coupling factor transporter ATP-binding protein EcfA2
chr	NC_000964.3	152130	152927	+	938923	ybaF	BSU01470	NP_388028.2	265	-	energy-coupling factor transporter transmembrane protein EcfT
chr	NC_000964.3	152937	153680	+	938920	truA	BSU01480	NP_388029.2	247	-	tRNA pseudouridine synthase A
chr	NC_000964.3	153842	154279	+	938915	rplM	BSU01490	NP_388030.2	145	-	50S ribosomal protein L13
chr	NC_000964.3	154300	154692	+	938912	rpsI	BSU01500	NP_388031.1	130	-	30S ribosomal protein S9
chr	NC_000964.3	155156	155923	+	938919	ybaJ	BSU01510	NP_388032.2	255	-	methyltransferase
chr	NC_000964.3	156109	156552	+	938916	ybaK	BSU01520	NP_388033.1	147	-	hypothetical protein BSU01520
chr	NC_000964.3	156612	157325	+	938917	cwlD	BSU01530	NP_388034.1	237	-	germination-specific N-acetylmuramoyl-L-alanine amidase
chr	NC_000964.3	157421	158479	+	938914	salA	BSU01540	NP_388035.1	352	-	protein mrp homolog SalA
chr	NC_000964.3	158515	159072	-	938910	gerD	BSU01550	NP_388036.1	185	-	spore germination protein GerD
chr	NC_000964.3	159182	159778	+	938913	kbaA	BSU01560	NP_388037.1	198	-	kinB-signaling pathway activation protein
chr	NC_000964.3	159779	160543	-	938911	ybaN	BSU01570	NP_388038.1	254	-	polysaccharide deacetylase PdaB
chr	NC_000964.3	177083	178519	+	938890	ybaR	BSU01580	NP_388039.1	478	-	sulfate transporter YbaR
chr	NC_000964.3	178665	179585	+	938892	ybaS	BSU01590	NP_388040.2	306	-	hypothetical protein BSU01590
chr	NC_000964.3	179595	180347	-	938887	ybbA	BSU01600	NP_388041.2	250	-	hypothetical protein BSU01600
chr	NC_000964.3	180344	181354	-	938893	feuC	BSU01610	NP_388042.2	336	-	iron-uptake system permease protein FeuC
chr	NC_000964.3	181347	182351	-	938884	feuB	BSU01620	NP_388043.1	334	-	iron-uptake system permease protein FeuB
chr	NC_000964.3	182370	183323	-	938891	feuA	BSU01630	NP_388044.1	317	-	iron-uptake system-binding protein
chr	NC_000964.3	183414	185003	-	938888	ybbB	BSU01640	NP_388045.1	529	-	AraC family transcriptional regulator
chr	NC_000964.3	185194	186438	-	938889	ybbC	BSU01650	NP_388046.1	414	-	hypothetical protein BSU01650
chr	NC_000964.3	186452	188380	-	938881	ybbD	BSU01660	NP_388047.1	642	-	lipoprotein
chr	NC_000964.3	188408	189733	-	938886	ybbE	BSU01670	NP_388048.2	441	-	hypothetical protein BSU01670
chr	NC_000964.3	189790	191157	-	938879	ybbF	BSU01680	NP_388049.3	455	-	PTS system EIIBC component YbbF
chr	NC_000964.3	191183	192034	-	938885	ybbH	BSU01690	NP_388050.1	283	-	RpiR family transcriptional regulator
chr	NC_000964.3	192051	192965	-	938882	murQ	BSU01700	NP_388051.1	304	-	N-acetylmuramic acid 6-phosphate etherase
chr	NC_000964.3	193075	193557	-	938883	ybbJ	BSU01710	NP_388052.2	160	-	N-acetyltransferase YbbJ
chr	NC_000964.3	193570	194025	-	938877	ybbK	BSU01720	NP_388053.2	151	-	hypothetical protein BSU01720
chr	NC_000964.3	194849	195412	+	938868	sigW	BSU01730	NP_388054.1	187	-	RNA polymerase sigma factor SigW
chr	NC_000964.3	195426	196052	+	938876	rsiW	BSU01740	NP_388055.1	208	-	anti-sigma-W factor RsiW
chr	NC_000964.3	196213	197034	+	938735	ybbP	BSU01750	NP_388056.2	273	-	hypothetical protein BSU01750
chr	NC_000964.3	197027	198478	+	938867	ybbR	BSU01760	NP_388057.2	483	-	YbbR-like domain-containing protein YbbR
chr	NC_000964.3	198497	199843	+	938632	glmM	BSU01770	NP_388058.1	448	-	phosphoglucosamine mutase
chr	NC_000964.3	200277	202079	+	938736	glmS	BSU01780	NP_388059.1	600	-	glutamine--fructose-6-phosphate aminotransferase
chr	NC_000964.3	202547	203458	-	938586	alkA	BSU01800	NP_388061.1	303	-	DNA-3-methyladenine glycosylase
chr	NC_000964.3	203729	204364	+	938648	adaA	BSU01810	NP_388062.1	211	-	bifunctional transcriptional activator/DNA repair enzyme AdaA
chr	NC_000964.3	204351	204890	+	938673	adaB	BSU01820	NP_388063.1	179	-	methylated-dna--protein-cysteine methyltransferase
chr	NC_000964.3	205409	206926	+	938593	ndhF	BSU01830	NP_388064.1	505	-	NADH-quinone oxidoreductase subunit 5
chr	NC_000964.3	206941	209556	+	938603	ybcC	BSU01845	NP_388065.2	871	-	hypothetical protein BSU01845
chr	NC_000964.3	209633	210160	+	938524	ybcF	BSU01860	NP_388067.1	175	-	carbonic anhydrase-like protein YbcF
chr	NC_000964.3	210224	210514	+	938573	ybcH	BSU01870	NP_388068.1	96	-	hypothetical protein BSU01870
chr	NC_000964.3	210572	210946	+	938568	ybcI	BSU01880	NP_388069.1	124	-	hypothetical protein BSU01880
chr	NC_000964.3	211429	211731	+	8302965	ybzH	BSU01889	YP_003097670.1	100	-	ArsR family transcriptional regulator
chr	NC_000964.3	211859	213031	+	938536	ybcL	BSU01890	NP_388070.1	390	-	MFS transporter
chr	NC_000964.3	213155	213469	+	938504	ybcM	BSU01900	NP_388071.1	104	-	hypothetical protein BSU01900
chr	NC_000964.3	213941	214108	+	938506	skfA	BSU01910	NP_388072.1	55	-	sporulation-killing factor SkfA
chr	NC_000964.3	214175	215407	+	938501	skfB	BSU01920	NP_388073.2	410	-	hypothetical protein BSU01920
chr	NC_000964.3	215404	216894	+	8302931	skfC	BSU01935	YP_003097671.1	496	-	sporulation-killing factor biosynthesis protein SkfC
chr	NC_000964.3	216913	217632	+	938498	skfE	BSU01950	NP_388077.1	239	-	SkfA peptide export ATP-binding protein SkfE
chr	NC_000964.3	217697	219040	+	938494	skfF	BSU01960	NP_388078.2	447	-	bacteriocin-SkfA transport system permease SkfF
chr	NC_000964.3	219087	219602	+	938502	skfG	BSU01970	NP_388079.2	171	-	hypothetical protein BSU01970
chr	NC_000964.3	219607	220032	+	938499	skfH	BSU01980	NP_388080.2	141	-	thioredoxin
chr	NC_000964.3	220279	221256	+	938500	ybdG	BSU01990	NP_388081.2	325	-	hypothetical protein BSU01990
chr	NC_000964.3	221258	221929	+	938485	ybdJ	BSU02000	NP_388082.1	223	-	transcriptional regulator
chr	NC_000964.3	221950	222912	+	938496	ybdK	BSU02010	NP_388083.1	320	-	sensor histidine kinase
chr	NC_000964.3	222971	223234	+	8303143	ybzI	BSU02019	YP_003097672.1	87	-	hypothetical protein BSU02019
chr	NC_000964.3	223219	223989	-	938464	ybdM	BSU02030	NP_388085.1	256	-	serine/threonine protein kinase
chr	NC_000964.3	224075	224932	-	938489	ybdN	BSU02040	NP_388086.1	285	-	hypothetical protein BSU02040
chr	NC_000964.3	225064	226248	+	938493	ybdO	BSU02050	NP_388087.1	394	-	hypothetical protein BSU02050
chr	NC_000964.3	226566	227954	+	938470	ybxG	BSU02060	NP_388088.1	462	-	transporter
chr	NC_000964.3	228066	228314	+	938448	csgA	BSU02070	NP_388089.1	82	-	sigma-G-dependent sporulation-specific SASP protein
chr	NC_000964.3	228331	228522	+	938445	ybxH	BSU02080	NP_388090.1	63	-	hypothetical protein BSU02080
chr	NC_000964.3	228549	229352	-	938466	ybxI	BSU02090	NP_388091.1	267	-	beta-lactamase YbxI
chr	NC_000964.3	229525	230778	+	938449	cypC	BSU02100	NP_388092.1	417	-	fatty-acid peroxygenase
chr	NC_000964.3	230819	231079	-	938450	ybyB	BSU02110	NP_388093.1	86	-	hypothetical protein BSU02110
chr	NC_000964.3	231348	232967	+	938442	ybeC	BSU02120	NP_388094.2	539	-	amino acid-proton symporter YbeC
chr	NC_000964.3	233014	233895	-	938446	glpQ	BSU02130	NP_388095.1	293	-	glycerophosphoryl diester phosphodiesterase
chr	NC_000964.3	233994	235328	-	938447	glpT	BSU02140	NP_388096.1	444	-	glycerol-3-phosphate transporter
chr	NC_000964.3	235625	235873	+	938444	ybeF	BSU02150	NP_388097.1	82	-	hypothetical protein BSU02150
chr	NC_000964.3	235965	236882	+	938439	ybfA	BSU02160	NP_388098.1	305	-	MarR family transcriptional regulator
chr	NC_000964.3	236879	238129	+	938436	ybfB	BSU02170	NP_388099.1	416	-	MFS transporter
chr	NC_000964.3	238164	238448	-	938443	ybfE	BSU02180	NP_388100.2	94	-	hypothetical protein BSU02180
chr	NC_000964.3	238644	239555	-	938441	ybfF	BSU02190	NP_388101.1	303	-	hypothetical protein BSU02190
chr	NC_000964.3	239644	241842	-	938433	ybfG	BSU02200	NP_388102.1	732	-	hypothetical protein BSU02200
chr	NC_000964.3	241917	242837	-	938440	ybfH	BSU02210	NP_388103.1	306	-	transporter
chr	NC_000964.3	242834	243661	-	938437	ybfI	BSU02220	NP_388104.1	275	-	AraC family transcriptional regulator
chr	NC_000964.3	243892	245046	+	938438	purT	BSU02230	NP_388105.1	384	-	phosphoribosylglycinamide formyltransferase
chr	NC_000964.3	245190	246131	+	938430	mpr	BSU02240	NP_388106.1	313	-	extracellular metalloprotease
chr	NC_000964.3	246094	246492	+	938435	ybfJ	BSU02250	NP_388107.1	132	-	hypothetical protein BSU02250
chr	NC_000964.3	246658	247548	+	938434	ybfK	BSU02260	NP_388108.1	296	-	carboxylesterase YbfK
chr	NC_000964.3	247744	248277	+	938427	pssA	BSU02270	NP_388109.1	177	-	CDP-diacylglycerol--serine O-phosphatidyltransferase
chr	NC_000964.3	248268	248756	+	938432	ybfM	BSU02280	NP_388110.1	162	-	membrane protein
chr	NC_000964.3	248749	249540	+	938431	psd	BSU02290	NP_388111.1	263	-	phosphatidylserine decarboxylase proenzyme
chr	NC_000964.3	249595	249873	+	938429	ybfN	BSU02300	NP_388112.1	92	-	hypothetical protein BSU02300
chr	NC_000964.3	249979	251319	+	938424	ybfO	BSU02310	NP_388113.1	446	-	hydrolase YbfO
chr	NC_000964.3	251427	252314	+	938428	ybfP	BSU02320	NP_388114.1	295	-	AraC family transcriptional regulator
chr	NC_000964.3	252514	253482	+	938426	ybfQ	BSU02330	NP_388115.1	322	-	hypothetical protein BSU02330
chr	NC_000964.3	253518	254762	-	938421	gltP	BSU02340	NP_388116.1	414	-	proton glutamate symport protein
chr	NC_000964.3	254907	256802	-	938418	nagP	BSU02350	NP_388117.1	631	-	PTS system glucosamine-specific EIICBA component
chr	NC_000964.3	256823	257572	-	938425	nagBB	BSU02360	NP_388118.1	249	-	glucosamine-6-phosphate deaminase 2
